Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSDARG00000008703	400	2	80
ENSDARG00000008706	400	2	80
ENSDARG00000008723	400	45	20
ENSDARG00000008735	400	3	70
ENSDARG00000008748	400	1	90
ENSDARG00000008757	400	58	10
ENSDARG00000008772	400	4	60
ENSDARG00000008784	400	1	90
ENSDARG00000008785	400	58	10
ENSDARG00000008803	400	10	40
ENSDARG00000008805	400	38	20
ENSDARG00000008811	400	1	90
ENSDARG00000008818	400	10	40
ENSDARG00000008829	400	3	70
ENSDARG00000008832	400	8	50
ENSDARG00000008835	400	4	70
ENSDARG00000008840	400	8	50
ENSDARG00000008852	400	5	60
ENSDARG00000008859	400	10	40
ENSDARG00000008861	400	3	70
ENSDARG00000008867	400	14	40
ENSDARG00000008886	400	14	40
ENSDARG00000008890	400	1	90
ENSDARG00000008904	400	3	70
ENSDARG00000008920	400	5	60
ENSDARG00000008936	400	30	20
ENSDARG00000008948	400	42	20
ENSDARG00000008953	400	18	30
ENSDARG00000008969	400	56	10
ENSDARG00000008976	400	1	90
ENSDARG00000008979	400	1	90
ENSDARG00000008982	400	1	90
ENSDARG00000009018	400	1	90
ENSDARG00000009021	400	2	80
ENSDARG00000009040	400	1	90
ENSDARG00000009046	400	5	60
ENSDARG00000009074	400	4	60
ENSDARG00000009087	400	7	50
ENSDARG00000009113	400	7	50
ENSDARG00000009133	400	15	30
ENSDARG00000009142	400	2	80
ENSDARG00000009153	400	42	20
ENSDARG00000009160	400	5	60
ENSDARG00000009170	400	11	40
ENSDARG00000009208	400	11	40
ENSDARG00000009212	400	11	40
ENSDARG00000009218	400	25	20
ENSDARG00000009242	400	5	60
ENSDARG00000009250	400	56	10
ENSDARG00000009252	400	3	70
ENSDARG00000009253	400	23	30
ENSDARG00000009266	400	2	80
ENSDARG00000009267	400	2	80
ENSDARG00000009273	400	2	80
ENSDARG00000009285	400	208	10
ENSDARG00000009299	400	12	40
ENSDARG00000009313	400	2	80
ENSDARG00000009336	400	1	90
ENSDARG00000009350	400	196	10
ENSDARG00000009351	400	10	40
ENSDARG00000009390	400	6	60
ENSDARG00000009401	400	1	90
ENSDARG00000009418	400	7	50
ENSDARG00000009438	400	6	60
ENSDARG00000009447	400	10	40
ENSDARG00000009470	400	7	50
ENSDARG00000009480	400	1	90
ENSDARG00000009488	400	140	10
ENSDARG00000009493	400	1	90
ENSDARG00000009511	400	27	20
ENSDARG00000009525	400	3	70
ENSDARG00000009544	400	168	10
ENSDARG00000009549	400	1	90
ENSDARG00000009585	400	8	50
ENSDARG00000009607	400	15	30
ENSDARG00000009612	400	9	50
ENSDARG00000009629	400	1	90
ENSDARG00000009640	400	47	10
ENSDARG00000009657	400	1	90
ENSDARG00000009681	400	9	50
ENSDARG00000009685	400	38	20
ENSDARG00000009689	400	9	50
ENSDARG00000009724	400	6	60
ENSDARG00000009735	400	2	80
ENSDARG00000009738	400	4	60
ENSDARG00000009740	400	2	80
ENSDARG00000009743	400	7	50
ENSDARG00000009745	400	9	50
ENSDARG00000009748	400	6	60
ENSDARG00000009753	400	76	10
ENSDARG00000009771	400	2	80
ENSDARG00000009779	400	5	60
ENSDARG00000009782	400	7	50
ENSDARG00000009783	400	1	90
ENSDARG00000009806	400	7	50
ENSDARG00000009823	400	4	60
ENSDARG00000009837	400	52	10
ENSDARG00000009844	400	3	70
ENSDARG00000009851	400	4	60
ENSDARG00000009862	400	2	80
ENSDARG00000009864	400	11	40
ENSDARG00000009868	400	3	70
ENSDARG00000009870	400	46	20
ENSDARG00000009871	400	13	40
ENSDARG00000009881	400	7	50
ENSDARG00000009899	400	1	90
ENSDARG00000009922	400	10	40
ENSDARG00000009942	400	66	10
ENSDARG00000009950	400	28	20
ENSDARG00000009953	400	6	60
ENSDARG00000009958	400	56	10
ENSDARG00000010002	400	66	10
ENSDARG00000010008	400	21	30
ENSDARG00000010010	400	1	90
ENSDARG00000010021	400	74	10
ENSDARG00000010023	400	1	90
ENSDARG00000010051	400	17	30
ENSDARG00000010078	400	29	20
ENSDARG00000010085	400	5	60
ENSDARG00000010097	400	3	70
ENSDARG00000010098	400	4	60
ENSDARG00000010113	400	62	10
ENSDARG00000010124	400	6	60
ENSDARG00000010132	400	5	60
ENSDARG00000010137	400	8	50
ENSDARG00000010149	400	81	10
ENSDARG00000010169	400	42	20
ENSDARG00000010192	400	8	50
ENSDARG00000010207	400	4	60
ENSDARG00000010238	400	3	70
ENSDARG00000010244	400	79	10
ENSDARG00000010246	400	20	30
ENSDARG00000010250	400	24	30
ENSDARG00000010267	400	49	10
ENSDARG00000010270	400	3	70
ENSDARG00000010276	400	30	20
ENSDARG00000010279	400	2	80
ENSDARG00000010281	400	1	90
ENSDARG00000010300	400	9	50
ENSDARG00000010301	400	9	50
ENSDARG00000010312	400	73	10
ENSDARG00000010316	400	86	10
ENSDARG00000010381	400	16	30
ENSDARG00000010400	400	2	80
ENSDARG00000010411	400	21	30
ENSDARG00000010415	400	2	80
ENSDARG00000010423	400	2	80
ENSDARG00000010432	400	4	60
ENSDARG00000010445	400	2	80
ENSDARG00000010454	400	2	80
ENSDARG00000010472	400	4	60
ENSDARG00000010478	400	25	20
ENSDARG00000010481	400	15	30
